"id","t","h","src"
"1.1",20,4.2,"gut"
"1.1",30,9.3,"gut"
"1.1",40,14.9,"gut"
"1.1",50,19.7,"gut"
"1.1",60,23,"gut"
"1.1",70,25.8,"gut"
"1.1",80,27.4,"gut"
"1.1",90,28.8,"gut"
"1.1",100,30,"gut"
"1.1",110,30.9,"gut"
"1.1",120,31.8,"gut"
"1.1",130,32.4,"gut"
"1.1",140,33.1,"gut"
"1.2",20,4.8,"gut"
"1.2",30,10.3,"gut"
"1.2",40,15.3,"gut"
"1.2",50,19.9,"gut"
"1.2",60,23.7,"gut"
"1.2",70,27.1,"gut"
"1.2",80,29.4,"gut"
"1.2",90,31.5,"gut"
"1.2",100,33.1,"gut"
"1.2",110,34.3,"gut"
"1.2",120,35.5,"gut"
"1.2",130,36.7,"gut"
"1.2",140,37.8,"gut"
"1.3",10,1.6,"gut"
"1.3",20,5.9,"gut"
"1.3",30,10.2,"gut"
"1.3",40,14,"gut"
"1.3",50,18.3,"gut"
"1.3",60,22.6,"gut"
"1.3",70,26.7,"gut"
"1.3",80,29.6,"gut"
"1.3",90,32,"gut"
"1.3",100,34,"gut"
"1.3",110,35.5,"gut"
"1.3",120,36.8,"gut"
"1.3",130,38.2,"gut"
"1.3",140,39.5,"gut"
"1.4",20,6.9,"gut"
"1.4",30,12.7,"gut"
"1.4",40,18.2,"gut"
"1.4",50,23.2,"gut"
"1.4",60,27.2,"gut"
"1.4",70,30.1,"gut"
"1.4",80,32.7,"gut"
"1.4",90,35,"gut"
"1.4",100,37,"gut"
"1.4",110,38.9,"gut"
"1.4",120,40.6,"gut"
"1.4",130,42.1,"gut"
"1.4",140,43.5,"gut"
"1.6",10,2,"gut"
"1.6",20,7.8,"gut"
"1.6",30,12.9,"gut"
"1.6",40,17.7,"gut"
"1.6",50,22.2,"gut"
"1.6",60,24.8,"gut"
"1.6",70,27.2,"gut"
"1.6",80,29.3,"gut"
"1.6",90,31.4,"gut"
"1.6",100,32.8,"gut"
"1.6",110,33.9,"gut"
"1.6",120,34.7,"gut"
"1.6",130,35.6,"gut"
"1.6",140,36.5,"gut"
"1.6",150,37.4,"gut"
"1.7",10,1.9,"gut"
"1.7",20,6.9,"gut"
"1.7",30,12.2,"gut"
"1.7",40,16.6,"gut"
"1.7",50,20.7,"gut"
"1.7",60,24.1,"gut"
"1.7",70,27.3,"gut"
"1.7",80,30.2,"gut"
"1.7",90,32.5,"gut"
"1.7",100,34.1,"gut"
"1.7",110,35.3,"gut"
"1.7",120,36.5,"gut"
"1.7",130,37.6,"gut"
"1.7",140,38.8,"gut"
"1.7",150,39.9,"gut"
"2.1",20,4.8,"gut"
"2.1",30,9.5,"gut"
"2.1",40,14.2,"gut"
"2.1",50,18.8,"gut"
"2.1",60,23.1,"gut"
"2.1",70,26.2,"gut"
"2.1",80,28.2,"gut"
"2.1",90,30.2,"gut"
"2.1",100,32.2,"gut"
"2.1",110,33.5,"gut"
"2.1",120,34.7,"gut"
"2.1",130,35.5,"gut"
"2.1",140,36.3,"gut"
"2.1",150,37.1,"gut"
"2.2",20,4,"gut"
"2.2",30,9.1,"gut"
"2.2",40,14.2,"gut"
"2.2",50,18.4,"gut"
"2.2",60,22.5,"gut"
"2.2",70,26,"gut"
"2.2",80,28.8,"gut"
"2.2",90,30.6,"gut"
"2.2",100,32.2,"gut"
"2.2",110,33.7,"gut"
"2.2",120,35,"gut"
"2.2",130,36.2,"gut"
"2.2",140,37.2,"gut"
"2.2",150,38.1,"gut"
"3.5",10,2,"gut"
"3.5",20,5.7,"gut"
"3.5",30,10.5,"gut"
"3.5",40,15.9,"gut"
"3.5",50,20.6,"gut"
"3.5",60,23.6,"gut"
"3.5",70,26.4,"gut"
"3.5",80,29.2,"gut"
"3.5",90,30.9,"gut"
"3.5",100,32.2,"gut"
"3.6",10,2.2,"gut"
"3.6",20,6.9,"gut"
"3.6",30,12.7,"gut"
"3.6",40,17.1,"gut"
"3.6",50,21.7,"gut"
"3.6",60,25.7,"gut"
"3.6",70,28.9,"gut"
"3.6",80,31.6,"gut"
"3.6",90,33.9,"gut"
"3.6",100,35.6,"gut"
"3.10",20,5.8,"gut"
"3.10",30,10.7,"gut"
"3.10",40,15.2,"gut"
"3.10",50,19.1,"gut"
"3.10",60,22.7,"gut"
"3.10",70,26.1,"gut"
"3.10",80,28,"gut"
"3.10",90,29.2,"gut"
"3.10",100,30.8,"gut"
"3.10",110,33.6,"gut"
"3.10",120,35.7,"gut"
"3.11",10,2.3,"gut"
"3.11",20,6.4,"gut"
"3.11",30,11.9,"gut"
"3.11",40,16.9,"gut"
"3.11",50,21.3,"gut"
"3.11",60,25.4,"gut"
"3.11",70,28.8,"gut"
"3.11",80,31.1,"gut"
"3.11",90,32.5,"gut"
"3.11",100,34,"gut"
"3.11",110,35.6,"gut"
"3.11",120,36.9,"gut"
"3.12",10,2,"gut"
"3.12",20,5.4,"gut"
"3.12",30,10.7,"gut"
"3.12",40,16.1,"gut"
"3.12",50,21,"gut"
"3.12",60,25.8,"gut"
"3.12",70,29.2,"gut"
"3.12",80,31.6,"gut"
"3.12",90,33.1,"gut"
"3.12",100,34.3,"gut"
"3.12",110,35.9,"gut"
"3.12",120,37.4,"gut"
"4.6",20,4.7,"gut"
"4.6",30,10.1,"gut"
"4.6",40,14.8,"gut"
"4.6",50,18.9,"gut"
"4.6",60,22.3,"gut"
"4.6",70,25.5,"gut"
"4.6",80,27.7,"gut"
"4.6",90,30.3,"gut"
"4.6",100,32.6,"gut"
"4.6",110,34.6,"gut"
"5.25",10,1.5,"gut"
"5.25",20,6.2,"gut"
"5.25",30,11.1,"gut"
"5.25",40,15.3,"gut"
"5.25",50,18.9,"gut"
"5.25",60,21.9,"gut"
"5.25",70,24.8,"gut"
"5.25",80,27.7,"gut"
"5.25",90,29.7,"gut"
"5.25",100,31.5,"gut"
"5.25",110,33.1,"gut"
"5.25",120,34.8,"gut"
"5.25",130,36.4,"gut"
"5.25",140,38,"gut"
"5.25",150,39.3,"gut"
"1.8",20,4.3,"gut"
"1.8",30,8.2,"gut"
"1.8",40,10.9,"gut"
"1.8",50,15.5,"gut"
"1.8",60,18.9,"gut"
"1.8",70,21.9,"gut"
"1.8",80,23.7,"gut"
"1.8",90,25.2,"gut"
"1.8",100,26.4,"gut"
"1.8",110,27.5,"gut"
"1.8",120,28.6,"gut"
"1.8",130,29.5,"gut"
"1.8",140,30.4,"gut"
"1.8",150,31.4,"gut"
"1.9",20,2.5,"gut"
"1.9",30,4.8,"gut"
"1.9",40,8,"gut"
"1.9",50,12.2,"gut"
"1.9",60,16.2,"gut"
"1.9",70,19.7,"gut"
"1.9",80,22.7,"gut"
"1.9",90,25.1,"gut"
"1.9",100,27.3,"gut"
"1.9",110,28.9,"gut"
"1.9",120,30.2,"gut"
"1.9",130,31.7,"gut"
"1.9",140,33.4,"gut"
"1.9",150,34.9,"gut"
"1.10",20,5,"gut"
"1.10",30,10.3,"gut"
"1.10",40,15.4,"gut"
"1.10",50,19.4,"gut"
"1.10",60,22.5,"gut"
"1.10",70,24.9,"gut"
"1.10",80,27.5,"gut"
"1.10",90,29.4,"gut"
"1.10",100,30.8,"gut"
"1.10",110,32,"gut"
"1.10",120,32.9,"gut"
"1.10",130,34.6,"gut"
"1.10",140,36.5,"gut"
"1.10",150,37.9,"gut"
"1.11",20,5.5,"gut"
"1.11",30,8.1,"gut"
"1.11",40,10.9,"gut"
"1.11",50,13.8,"gut"
"1.11",60,17,"gut"
"1.11",70,20.1,"gut"
"1.11",80,22.8,"gut"
"1.11",90,25.1,"gut"
"1.11",100,27.1,"gut"
"1.11",110,28.8,"gut"
"1.11",120,30.5,"gut"
"1.11",130,31.9,"gut"
"1.11",140,32.9,"gut"
"1.11",150,34.1,"gut"
"3.7",20,3.5,"gut"
"3.7",30,7.3,"gut"
"3.7",40,12,"gut"
"3.7",50,15.9,"gut"
"3.7",60,19.2,"gut"
"3.7",70,22.3,"gut"
"3.7",80,24.8,"gut"
"3.7",90,26.9,"gut"
"3.7",100,28.8,"gut"
"3.7",110,30.7,"gut"
"3.8",20,2.2,"gut"
"3.8",30,6.6,"gut"
"3.8",40,12.2,"gut"
"3.8",50,16.6,"gut"
"3.8",60,19.7,"gut"
"3.8",70,22.5,"gut"
"3.8",80,24.5,"gut"
"3.8",90,26.9,"gut"
"3.8",100,29,"gut"
"3.8",110,31.1,"gut"
"4.5",20,3.8,"gut"
"4.5",30,7.3,"gut"
"4.5",40,11.8,"gut"
"4.5",50,15.8,"gut"
"4.5",60,19.5,"gut"
"4.5",70,21.7,"gut"
"4.5",80,24.1,"gut"
"4.5",90,26.4,"gut"
"4.5",100,28.2,"gut"
"4.7",20,4,"gut"
"4.7",30,8.1,"gut"
"4.7",40,12.2,"gut"
"4.7",50,15.7,"gut"
"4.7",60,18.4,"gut"
"4.7",70,20.8,"gut"
"4.7",80,23.1,"gut"
"4.7",90,25.1,"gut"
"4.7",100,27,"gut"
"4.7",110,28.5,"gut"
"4.7",120,30,"gut"
"4.7",130,31.6,"gut"
"4.7",140,33.1,"gut"
"5.15",20,5.1,"gut"
"5.15",30,10.5,"gut"
"5.15",40,14.9,"gut"
"5.15",50,17.5,"gut"
"5.15",60,19.6,"gut"
"5.15",70,21.2,"gut"
"5.15",80,22.8,"gut"
"5.15",90,24.4,"gut"
"5.15",100,25.8,"gut"
"5.15",110,27,"gut"
"5.17",10,2.3,"gut"
"5.17",20,7.6,"gut"
"5.17",30,11.3,"gut"
"5.17",40,14.5,"gut"
"5.17",50,16.2,"gut"
"5.17",60,18,"gut"
"5.17",70,19.8,"gut"
"5.17",80,21.8,"gut"
"5.17",90,23.8,"gut"
"5.17",100,25.6,"gut"
"5.17",110,27.2,"gut"
"5.18",10,1.7,"gut"
"5.18",20,6.7,"gut"
"5.18",30,12.8,"gut"
"5.18",40,17,"gut"
"5.18",50,20.4,"gut"
"5.18",60,23.5,"gut"
"5.18",70,26,"gut"
"5.18",80,28,"gut"
"5.18",90,29.8,"gut"
"5.18",100,31.3,"gut"
"5.19",10,2,"gut"
"5.19",20,7.4,"gut"
"5.19",30,11.9,"gut"
"5.19",40,15.9,"gut"
"5.19",50,19,"gut"
"5.19",60,20.9,"gut"
"5.19",70,22.5,"gut"
"5.19",80,24.3,"gut"
"5.19",90,26.5,"gut"
"5.19",100,28.3,"gut"
"5.19",110,29.8,"gut"
"5.21",20,4.3,"gut"
"5.21",30,8.6,"gut"
"5.21",40,13.1,"gut"
"5.21",50,17.7,"gut"
"5.21",60,21.2,"gut"
"5.21",70,24.1,"gut"
"5.21",80,26.6,"gut"
"5.21",90,28.5,"gut"
"5.21",100,29.9,"gut"
"5.21",110,31.1,"gut"
"5.21",120,31.9,"gut"
"5.21",130,32.6,"gut"
"5.22",20,3.5,"gut"
"5.22",30,6.5,"gut"
"5.22",40,11.2,"gut"
"5.22",50,15.6,"gut"
"5.22",60,19.7,"gut"
"5.22",70,23.1,"gut"
"5.22",80,25.7,"gut"
"5.22",90,27.9,"gut"
"5.22",100,29.1,"gut"
"5.22",110,30.4,"gut"
"5.22",120,31.3,"gut"
"5.22",130,31.9,"gut"
"5.23",20,4.8,"gut"
"5.23",30,8.5,"gut"
"5.23",40,12.2,"gut"
"5.23",50,16,"gut"
"5.23",60,18.8,"gut"
"5.23",70,21.1,"gut"
"5.23",80,22.6,"gut"
"5.23",90,24.1,"gut"
"5.23",100,25.6,"gut"
"5.23",110,26.9,"gut"
"5.23",120,28,"gut"
"5.23",130,29.2,"gut"
"5.23",140,30.4,"gut"
"5.23",150,31.7,"gut"
"5.24",20,5,"gut"
"5.24",30,9.6,"gut"
"5.24",40,13.2,"gut"
"5.24",50,16.5,"gut"
"5.24",60,19.4,"gut"
"5.24",70,21.4,"gut"
"5.24",80,23,"gut"
"5.24",90,25.1,"gut"
"5.24",100,26.5,"gut"
"5.24",110,27.8,"gut"
"5.24",120,29.1,"gut"
"5.24",130,30.6,"gut"
"5.24",140,32.2,"gut"
"5.24",150,33.4,"gut"
"5.26",10,2,"gut"
"5.26",20,6,"gut"
"5.26",30,9.1,"gut"
"5.26",40,12.3,"gut"
"5.26",50,15.5,"gut"
"5.26",60,18.6,"gut"
"5.26",70,21,"gut"
"5.26",80,23.1,"gut"
"5.26",90,25.1,"gut"
"5.26",100,26.6,"gut"
"5.26",110,27.8,"gut"
"5.26",120,28.8,"gut"
"5.26",130,29.7,"gut"
"5.26",140,30.7,"gut"
"5.26",150,31.8,"gut"
"6.7",10,1.9,"gut"
"6.7",20,6.5,"gut"
"6.7",30,11,"gut"
"6.7",40,14,"gut"
"6.7",50,17.9,"gut"
"6.7",60,20.7,"gut"
"6.7",70,23,"gut"
"6.7",80,25.2,"gut"
"6.7",90,27.4,"gut"
"6.7",100,29.7,"gut"
"6.8",20,4.3,"gut"
"6.8",30,9.3,"gut"
"6.8",40,13,"gut"
"6.8",50,17.4,"gut"
"6.8",60,20.9,"gut"
"6.8",70,23.1,"gut"
"6.8",80,25.1,"gut"
"6.8",90,27.4,"gut"
"6.8",100,29.3,"gut"
"7.6",20,2.1,"gut"
"7.6",30,6.4,"gut"
"7.6",40,11,"gut"
"7.6",50,15,"gut"
"7.6",60,17.9,"gut"
"7.6",70,19.6,"gut"
"7.6",80,21.9,"gut"
"7.6",90,23.5,"gut"
"7.6",100,24.9,"gut"
"7.6",110,26.2,"gut"
"7.6",120,27.2,"gut"
"7.6",130,28.2,"gut"
"7.6",140,29.2,"gut"
"7.6",150,30.2,"gut"
"1.12",20,2.8,"gut"
"1.12",30,6.3,"gut"
"1.12",40,10,"gut"
"1.12",50,12.7,"gut"
"1.12",60,15.4,"gut"
"1.12",70,18.1,"gut"
"1.12",80,21.1,"gut"
"1.12",90,23.6,"gut"
"1.12",100,25.4,"gut"
"1.12",110,26.9,"gut"
"1.12",120,28.4,"gut"
"1.12",130,29.7,"gut"
"1.12",140,30.8,"gut"
"1.12",150,31.8,"gut"
"1.13",20,4.1,"gut"
"1.13",30,7.7,"gut"
"1.13",40,11.1,"gut"
"1.13",50,14.4,"gut"
"1.13",60,17.5,"gut"
"1.13",70,20.3,"gut"
"1.13",80,22.5,"gut"
"1.13",90,24.2,"gut"
"1.13",100,25.8,"gut"
"1.13",110,27.1,"gut"
"1.13",120,28.3,"gut"
"1.13",130,29.6,"gut"
"1.13",140,30.8,"gut"
"1.13",150,31.8,"gut"
"1.14",20,2.8,"gut"
"1.14",30,5.8,"gut"
"1.14",40,8.6,"gut"
"1.14",50,10.9,"gut"
"1.14",60,13,"gut"
"1.14",70,15.2,"gut"
"1.14",80,16.6,"gut"
"1.14",90,17.8,"gut"
"1.14",100,19.2,"gut"
"1.14",110,20.3,"gut"
"1.14",120,21,"gut"
"1.14",130,21.6,"gut"
"1.14",140,22.3,"gut"
"1.14",150,23,"gut"
"1.15",20,1.9,"gut"
"1.15",30,5,"gut"
"1.15",40,8.2,"gut"
"1.15",50,11,"gut"
"1.15",60,13.6,"gut"
"1.15",70,15.8,"gut"
"1.15",80,17.6,"gut"
"1.15",90,19.2,"gut"
"1.15",100,21,"gut"
"1.15",110,22.5,"gut"
"1.15",120,23.7,"gut"
"1.15",130,24.7,"gut"
"1.15",140,25.7,"gut"
"1.15",150,26.7,"gut"
"1.16",20,3,"gut"
"1.16",30,5.9,"gut"
"1.16",40,8.4,"gut"
"1.16",50,10.9,"gut"
"1.16",60,13.4,"gut"
"1.16",70,15.6,"gut"
"1.16",80,17.7,"gut"
"1.16",90,19.4,"gut"
"1.16",100,20.9,"gut"
"1.16",110,22.3,"gut"
"1.16",120,23.5,"gut"
"1.16",130,24.3,"gut"
"1.16",140,25,"gut"
"1.16",150,25.9,"gut"
"3.13",20,3.7,"gut"
"3.13",30,6.8,"gut"
"3.13",40,10.1,"gut"
"3.13",50,13.2,"gut"
"3.13",60,16.2,"gut"
"3.13",70,18.8,"gut"
"3.13",80,20.7,"gut"
"3.13",90,22.7,"gut"
"3.13",100,24.3,"gut"
"3.13",110,25.6,"gut"
"3.13",120,26.9,"gut"
"3.14",20,3.5,"gut"
"3.14",30,7,"gut"
"3.14",40,10.8,"gut"
"3.14",50,14.2,"gut"
"3.14",60,17,"gut"
"3.14",70,18.9,"gut"
"3.14",80,20.7,"gut"
"3.14",90,22.6,"gut"
"3.14",100,24.5,"gut"
"3.14",110,26.1,"gut"
"4.3",10,1.6,"gut"
"4.3",20,4.3,"gut"
"4.3",30,7.2,"gut"
"4.3",40,10.3,"gut"
"4.3",50,13,"gut"
"4.3",60,15.8,"gut"
"4.3",70,18.4,"gut"
"4.3",80,20.2,"gut"
"4.3",90,22.1,"gut"
"4.3",100,23.4,"gut"
"4.3",110,24.5,"gut"
"4.4",20,2.7,"gut"
"4.4",30,6.1,"gut"
"4.4",40,9.8,"gut"
"4.4",50,12.9,"gut"
"4.4",60,15.8,"gut"
"4.4",70,18,"gut"
"4.4",80,19.9,"gut"
"4.4",90,21.7,"gut"
"4.4",100,23.4,"gut"
"4.4",110,24.9,"gut"
"4.4",120,26,"gut"
"5.20",20,2.2,"gut"
"5.20",30,5.7,"gut"
"5.20",40,9.4,"gut"
"5.20",50,12.9,"gut"
"5.20",60,15.6,"gut"
"5.20",70,17.9,"gut"
"5.20",80,20.2,"gut"
"5.20",90,22.4,"gut"
"5.20",100,23.5,"gut"
"5.20",110,24.2,"gut"
"5.27",20,2,"gut"
"5.27",30,4,"gut"
"5.27",40,6.2,"gut"
"5.27",50,9.1,"gut"
"5.27",60,12.5,"gut"
"5.27",70,15.8,"gut"
"5.27",80,18.4,"gut"
"5.27",90,20.6,"gut"
"5.27",100,21.9,"gut"
"5.27",110,23,"gut"
"5.27",120,24.1,"gut"
"5.27",130,25.3,"gut"
"5.27",140,26.4,"gut"
"5.28",30,2.9,"gut"
"5.28",40,4.9,"gut"
"5.28",50,7.9,"gut"
"5.28",60,10.9,"gut"
"5.28",70,14.2,"gut"
"5.28",80,17.7,"gut"
"5.28",90,20.3,"gut"
"5.28",100,22.1,"gut"
"5.28",110,23.2,"gut"
"5.28",120,24.1,"gut"
"5.28",130,25,"gut"
"5.28",140,25.8,"gut"
"5.28",150,26.6,"gut"
"5.29",20,1.8,"gut"
"5.29",30,3.5,"gut"
"5.29",40,5.7,"gut"
"5.29",50,8.2,"gut"
"5.29",60,11.1,"gut"
"5.29",70,13.8,"gut"
"5.29",80,16,"gut"
"5.29",90,18.1,"gut"
"5.29",100,19.7,"gut"
"5.29",110,21.3,"gut"
"5.29",120,22.6,"gut"
"5.29",130,23.8,"gut"
"5.29",140,25,"gut"
"5.29",150,26.1,"gut"
"5.30",20,1.9,"gut"
"5.30",30,3.1,"gut"
"5.30",40,6.3,"gut"
"5.30",50,9.7,"gut"
"5.30",60,11.9,"gut"
"5.30",70,13.9,"gut"
"5.30",80,15.7,"gut"
"5.30",90,17.4,"gut"
"5.30",100,18.8,"gut"
"5.30",110,20.2,"gut"
"5.30",120,21.4,"gut"
"5.30",130,22.6,"gut"
"5.30",140,23.8,"gut"
"5.30",150,24.9,"gut"
"5.31",20,1.6,"gut"
"5.31",30,4.5,"gut"
"5.31",40,8.2,"gut"
"5.31",50,10.8,"gut"
"5.31",60,12.7,"gut"
"5.31",70,15.4,"gut"
"5.31",80,17.9,"gut"
"5.31",90,19.8,"gut"
"5.31",100,21.7,"gut"
"5.31",110,23.7,"gut"
"5.31",120,25.4,"gut"
"5.31",130,26.9,"gut"
"5.31",140,28.3,"gut"
"5.31",150,29.5,"gut"
"6.10",20,3.5,"gut"
"6.10",30,5.6,"gut"
"6.10",40,8.4,"gut"
"6.10",50,11.1,"gut"
"6.10",60,13.4,"gut"
"6.10",70,15.2,"gut"
"6.10",80,17.1,"gut"
"6.10",90,18.8,"gut"
"6.10",100,20.6,"gut"
"6.10",110,22.3,"gut"
"7.1",20,3.6,"gut"
"7.1",30,6.4,"gut"
"7.1",40,8.8,"gut"
"7.1",50,11.2,"gut"
"7.1",60,13.1,"gut"
"7.1",70,14.8,"gut"
"7.1",80,16.3,"gut"
"7.1",90,17.7,"gut"
"7.1",100,19.3,"gut"
"7.1",110,21.1,"gut"
"7.1",120,22.7,"gut"
"7.10",20,3.6,"gut"
"7.10",30,7,"gut"
"7.10",40,10.5,"gut"
"7.10",50,14,"gut"
"7.10",60,16.7,"gut"
"7.10",70,18.3,"gut"
"7.10",80,19.7,"gut"
"7.10",90,21.1,"gut"
"7.10",100,22.2,"gut"
"7.10",110,23.6,"gut"
